"Country/Region","Province","Date","Type"
"China","Sichuan",2020-01-23,"Full"
"China","Tianjin",2020-01-23,"Full"
"China","Tibet",2020-01-23,"Full"
"China","Xinjiang",2020-01-23,"Full"
"China","Yunnan",2020-01-23,"Full"
"China","Zhejiang",2020-01-23,"Full"
"Colombia",NA,2020-03-25,"Full"
"Congo (Brazzaville)",NA,NA,"None"
"Congo (Kinshasa)",NA,2020-03-19,"Full"
"Costa Rica",NA,2020-03-15,"Full"
"Cote dIvoire",NA,2020-03-29,"Full"
"Croatia",NA,2020-03-22,"Partial"
"Cuba",NA,NA,"None"
"Cyprus",NA,2020-03-25,"Full"
"Czechia",NA,2020-03-16,"Full"
"Denmark","Faroe Islands",2020-03-12,"Full"
"Denmark",NA,2020-03-11,"Full"
"Diamond Princess",NA,NA,"None"
"Djibouti",NA,NA,"None"
"Dominica",NA,NA,"None"
"Dominican Republic",NA,2020-03-17,"Full"
"Ecuador",NA,2020-03-24,"Partial"
"Egypt",NA,2020-03-24,"Full"
"El Salvador",NA,2020-03-11,"Full"
"Equatorial Guinea",NA,NA,"None"
"Eritrea",NA,NA,"None"
"Estonia",NA,2020-03-13,"Full"
"Eswatini",NA,NA,"None"
"Ethiopia",NA,2020-03-16,"Full"
"Fiji",NA,2020-03-20,"Full"
"Finland",NA,2020-03-27,"Full"
"France","French Guiana",NA,"None"
"France","French Polynesia",2020-03-27,"Partial"
"France","Guadeloupe",NA,"None"
"France","Martinique",2020-03-20,"Partial"
"France","Mayotte",NA,"None"
"France","New Caledonia",NA,"None"
"France","Reunion",NA,"None"
"France","Saint Barthelemy",NA,"None"
"France","St Martin",NA,"None"
"France",NA,2020-03-16,"Full"
"Gabon",NA,NA,"None"
"Gambia",NA,2020-03-27,"Full"
"Georgia",NA,2020-03-22,"Partial"
"Germany",NA,2020-03-20,"Full"
"Ghana",NA,2020-03-15,"Full"
"Greece",NA,2020-03-18,"Full"
"Greenland",NA,NA,"None"
"Grenada",NA,NA,"None"
"Guatemala",NA,NA,"None"
"Guinea",NA,NA,"None"
"Guinea-Bissau",NA,NA,"None"
"Guyana",NA,NA,"None"
"Haiti",NA,NA,"None"
"Honduras",NA,2020-03-20,"Partial"
"Hungary",NA,2020-03-16,"Full"
"Iceland",NA,2020-03-16,"Full"
"India",NA,2020-03-24,"Full"
"Indonesia",NA,2020-03-15,"Full"
"Iran",NA,2020-03-15,"Full"
"Iraq",NA,2020-03-22,"Full"
"Ireland",NA,2020-03-12,"Full"
"Israel",NA,2020-03-12,"Full"
"Italy",NA,2020-03-11,"Full"
"Jamaica",NA,2020-03-12,"Full"
"Japan",NA,2020-02-27,"Full"
"Jersey",NA,2020-03-18,"Full"
"Jordan",NA,2020-03-21,"Full"
"Kazakhstan",NA,2020-03-15,"Full"
"Kenya",NA,2020-03-15,"Full"
"Korea, South",NA,2020-02-23,"Full"
"Kosovo",NA,2020-03-25,"Partial"
"Kuwait",NA,2020-03-16,"Partial"
"Kyrgyzstan",NA,2020-03-24,"Partial"
"Laos",NA,NA,"None"
"Latvia",NA,2020-03-13,"Full"
"Lebanon",NA,2020-03-16,"Full"
"Liberia",NA,NA,"None"
"Libya",NA,NA,"None"
"Liechtenstein",NA,2020-03-20,"Partial"
"Lithuania",NA,2020-03-16,"Full"
"Luxembourg",NA,2020-03-16,"Full"
"Madagascar",NA,2020-03-17,"Partial"
"Malaysia",NA,2020-03-18,"Full"
"Maldives",NA,2020-03-11,"Full"
"Mali",NA,2020-03-18,"Full"
"Malta",NA,2020-03-12,"Full"
"Mauritania",NA,NA,"None"
"Mauritius",NA,2020-03-17,"Partial"
"Mexico",NA,2020-03-14,"Partial"
"Moldova",NA,2020-03-11,"Full"
"Monaco",NA,2020-03-17,"Full"
"Mongolia",NA,2020-03-10,"Full"
"Montenegro",NA,2020-03-24,"Full"
"Morocco",NA,2020-03-16,"Full"
"Mozambique",NA,NA,"None"
"MS Zaandam",NA,NA,"None"
"Namibia",NA,2020-03-14,"Full"
"Nepal",NA,2020-03-24,"Full"
"Netherlands","Aruba",2020-03-16,"Full"
"Netherlands",NA,2020-03-24,"Full"
"Netherlands","Curacao",NA,"None"
"Netherlands","Sint Maarten",NA,"None"
"New Zealand",NA,2020-03-25,"Full"
"Nicaragua",NA,NA,"None"
"Niger",NA,NA,"None"
"Nigeria",NA,2020-03-25,"Full"
"North Macedonia",NA,2020-03-18,"Full"
"Norway",NA,2020-03-12,"Full"
"Oman",NA,2020-03-29,"Partial"
"Pakistan",NA,2020-03-26,"Full"
"Palestine",NA,2020-03-05,"Full"
"Panama",NA,2020-03-25,"Full"
"Papua New Guinea",NA,NA,"None"
"Paraguay",NA,2020-03-15,"Partial"
"Peru",NA,2020-03-10,"Full"
"Philippines",NA,2020-03-16,"Partial"
"Poland",NA,2020-03-12,"Full"
"Portugal",NA,2020-03-18,"Full"
"Qatar",NA,2020-03-11,"Full"
"Romania",NA,2020-03-25,"Full"
"Russia",NA,2020-03-27,"Full"
"Rwanda",NA,2020-03-16,"Full"
"Saint Kitts and Nevis",NA,NA,"None"
"Saint Lucia",NA,2020-03-20,"Full"
"Saint Vincent and the Grenadines",NA,NA,"None"
"San Marino",NA,2020-03-09,"Full"
"Saudi Arabia",NA,2020-03-15,"Full"
"Senegal",NA,2020-03-24,"Partial"
"Serbia",NA,2020-03-15,"Full"
"Seychelles",NA,NA,"None"
"Sierra Leone",NA,NA,"None"
"Singapore",NA,2020-03-26,"Partial"
"Slovakia",NA,2020-03-09,"Full"
"Slovenia",NA,2020-03-11,"Full"
"Somalia",NA,2020-03-19,"Full"
"South Africa",NA,2020-03-26,"Full"
"Spain",NA,2020-03-14,"Full"
"Sri Lanka",NA,2020-03-21,"Full"
"Sudan",NA,NA,"None"
"Suriname",NA,NA,"None"
"Sweden",NA,NA,"None"
"Switzerland",NA,2020-03-18,"Full"
"Syria",NA,2020-03-14,"Full"
"Taiwan*",NA,2020-02-02,"Full"
"Tanzania",NA,NA,"None"
"Thailand",NA,2020-03-22,"Full"
"Timor-Leste",NA,NA,"None"
"Togo",NA,2020-03-20,"Partial"
"Trinidad and Tobago",NA,2020-03-13,"Full"
"Tunisia",NA,2020-03-20,"Full"
"Turkey",NA,2020-03-23,"Full"
"Uganda",NA,2020-03-18,"Full"
"Ukraine",NA,2020-03-17,"Full"
"United Arab Emirates",NA,2020-03-24,"Full"
"United Kingdom","Anguilla",2020-03-18,"Full"
"United Kingdom","Bermuda",NA,"None"
"United Kingdom","British Virgin Islands",NA,"None"
"United Kingdom","Cayman Islands",NA,"None"
"United Kingdom","Channel Islands",NA,"None"
"United Kingdom","Gibraltar",2020-03-24,"Full"
"United Kingdom","Isle of Man",2020-03-23,"Full"
"United Kingdom","Montserrat",NA,"None"
"United Kingdom","Turks and Caicos Islands",2020-03-27,"Full"
"United Kingdom",NA,2020-03-23,"Full"
"Uruguay",NA,2020-03-16,"Full"
"US","Alabama",2020-04-04,"Full"
"US","Alaska",2020-03-28,"Full"
"US","Arizona",2020-03-31,"Full"
"US","Arkansas",NA,"None"
"US","California",2020-03-19,"Full"
"US","Colorado",2020-03-26,"Full"
"US","Connecticut",2020-03-23,"Full"
"US","Delaware",2020-03-24,"Full"
"US","District of Columbia",NA,"None"
"US","Florida",2020-04-02,"Full"
"US","Georgia",NA,"None"
"US","Guam",2020-03-26,"Full"
"US","Hawaii",2020-03-25,"Full"
"US","Idaho",2020-03-25,"Full"
"US","Illinois",2020-03-21,"Full"
"US","Indiana",2020-03-24,"Full"
"US","Iowa",NA,"None"
"US","Kansas",2020-03-30,"Full"
"US","Kentucky",2020-03-26,"Full"
"US","Louisiana",2020-03-23,"Full"
"US","Maine",2020-04-02,"Full"
"US","Maryland",2020-03-30,"Full"
"US","Massachusetts",2020-03-24,"Full"
"US","Michigan",2020-03-24,"Full"
"US","Minnesota",2020-03-27,"Full"
"US","Mississippi",2020-04-03,"Full"
"US","Missouri",2020-04-06,"Full"
"US","Montana",2020-03-28,"Full"
"US","Nebraska",NA,"None"
"US","Nevada",2020-04-02,"Full"
"US","New Hampshire",2020-03-27,"Full"
"US","New Jersey",2020-03-21,"Full"
"US","New Mexico",2020-03-24,"Full"
"US","New York",2020-03-22,"Full"
"US","North Carolina",2020-03-30,"Full"
"US","North Dakota",NA,"None"
"US","Ohio",2020-03-23,"Full"
"US","Oklahoma",NA,"None"
"US","Oregon",2020-03-23,"Full"
"US","Pennsylvania",2020-04-02,"Full"
"US","Puerto Rico",2020-03-13,"Full"
"US","Rhode Island",2020-03-28,"Full"
"US","South Carolina",NA,"None"
"US","South Dakota",NA,"None"
"US","Tennessee",2020-03-31,"Full"
"US","Texas",2020-04-02,"Full"
"US","Utah",NA,"None"
"US","Vermont",2020-03-25,"Full"
"US","Virgin Islands",2020-03-25,"Full"
"US","Virginia",2020-03-30,"Full"
"US","Washington",2020-03-23,"Full"
"US","West Virginia",2020-03-24,"Full"
"US","Wisconsin",2020-03-25,"Full"
"US","Wyoming",NA,"None"
"Uzbekistan",NA,2020-03-20,"Partial"
"Vatican City",NA,2020-03-10,"Full"
"Venezuela",NA,2020-03-16,"Full"
"Vietnam",NA,2020-03-19,"Full"
"West Bank and Gaza",NA,2020-03-05,"Full"
"Zambia",NA,NA,"None"
"Zimbabwe",NA,2020-03-27,"Full"
